MSOA11CD,asianr,blackr,mixedr,whiter,otherr,femaler,popudensity,Age17_29r,Age30_39r,Age40_49r,Age50_59r,Age60_69r,Age70_79r,Age80r,LowFV,HighSSB,childrenemerg,alcohol,copdprev,obprev,Imdscore,Imdrank,Imddecile,Imdquintile,prevalence
E02000001,16.8336439888164,2.7027027027027026,5.4753028890959925,69.37325256290774,5.615097856477167,44.12279893057988,37.33393881868996,31.040840785470635,22.964875080667465,12.464275836636858,11.99409975108325,8.214252788789526,5.623674748778464,2.618235456808334,8.086200802,11.6171125,54.7,71.4,0.48,3.35,14.720484223119485,4198.0,7,4,2.74
E02000002,22.25307896643323,20.973194880463655,4.926346293165902,48.816710939386624,3.0306689205505917,52.98187022900763,38.713840397350054,15.422232824427482,15.338740458015268,14.157919847328243,10.520038167938932,6.7748091603053435,5.200381679389313,3.9837786259541987,9.158511811,12.9235644,63.8,110.1,1.35,12.49,34.76755983195555,1060.0,2,1,9.58
E02000003,34.945397815912635,15.600624024960998,4.194834460045069,40.665626625065,4.593517074016294,50.53799881386089,55.06247771228414,17.368465644327713,16.716089129882235,12.979750910785393,11.336100991273405,8.201304753028891,4.719139201897823,3.5584173515208,6.636456766,12.9042673,68.0,81.8,1.06,12.29,25.149725932835818,2197.0,4,2,9.61
E02000004,15.853658536585366,14.242697982535383,3.7037037037037033,62.85757302017465,3.342366757000903,50.698689956331876,27.587974408351958,16.622998544395927,14.45414847161572,12.416302765647744,12.54730713245997,9.810771470160116,6.084425036390102,5.86608442503639,6.850283663,12.7726847,60.5,85.9,1.4,14.72,23.560044369645045,2427.0,4,2,8.98
E02000005,30.07851276960563,17.66086093312878,4.304665643894955,44.37325151159643,3.5827091417742083,51.71102661596958,93.12246605324691,15.74325547709578,16.250226326271957,15.118594966503712,12.058663769690385,6.065544088357776,3.4220532319391634,2.2904218721709215,7.747710317,13.6430125,74.7,98.2,1.43,13.48,30.212965379205887,1519.0,3,2,9.26
E02000007,14.669421487603307,26.11176702085793,4.191263282172373,51.00354191263282,4.02400629673357,52.31026346834447,58.664903263437765,16.742036964215494,15.729453401494297,14.136846244593002,11.49233189146677,7.461659457333858,4.109319701140386,2.9001179709005114,9.604217561,13.6794278,64.7,99.6,1.49,13.4,36.007463265728475,966.0,2,1,9.31
E02000008,18.749056888486496,19.31492379658971,4.104421306775313,54.617473970122234,3.214124038026256,51.66829856142201,93.54553343899656,15.34232130752429,14.762371017549144,15.229343978308352,13.316261203585148,7.931008510958801,4.059652029826015,2.026060103939143,8.664339659,13.2048955,62.5,116.5,1.66,14.55,34.4495850024426,1088.0,2,1,9.86
E02000009,24.137126865671643,22.862251243781095,4.80410447761194,44.06094527363184,4.135572139303482,50.692607003891055,133.0748538740304,17.77431906614786,16.023346303501945,14.599221789883268,11.898832684824903,6.22568093385214,2.5058365758754864,1.7665369649805447,8.597031398,14.2005148,70.0,103.5,1.43,13.33,36.33654626808835,946.0,2,1,9.57
E02000010,15.717900063251106,19.881931267130508,3.995361585494413,57.26333544170357,3.141471642420409,52.42174280879864,84.40400271950875,16.423434856175973,15.651438240270727,14.382402707275805,12.880710659898478,7.889170896785109,3.532148900169205,2.104483925549915,8.647198374,13.1810497,66.4,108.8,1.43,14.44,34.49335914640853,1083.0,2,1,8.82
E02000011,21.76696542893726,19.94593825579741,3.329065300896287,51.64319248826291,3.314838526106132,51.40874982302138,44.08431881719699,17.372221435650573,14.639671527679457,13.42205861531927,12.558402944924252,7.872009061305395,5.564207843692482,4.049270848081552,6.831069575,13.0697996,65.4,90.5,1.45,15.16,25.713968791598877,2122.0,4,2,8.98
