MSOA_code,LowFruit ,LowFruitLCI,LowFruitUCI,LowVeg,LowVegLCI,LowVegUCI,LowFV,LowFVLCI,LowFVUCI,HighSSB,HighSSBLCI,HighSSBUCI
E02000001,58.08324021,52.5,63.97,19.51794859,12.77,29.56,8.086200802,3.7,17.1,11.6171125,5.44,23.15
E02000002,61.13423835,55.65,66.84,21.36313291,14.09,31.98,9.158511811,4.22,19.12,12.9235644,6.1,25.38
E02000003,55.04945514,49.42,61.08,16.92519759,10.95,26.06,6.636456766,3.01,14.29,12.9042673,6.09,25.35
E02000004,54.50256759,48.86,60.55,17.27843759,11.2,26.55,6.850283663,3.11,14.71,12.7726847,6.02,25.13
E02000005,58.22323461,52.64,64.1,18.83952507,12.29,28.66,7.747710317,3.54,16.45,13.6430125,6.46,26.58
E02000007,62.51972752,57.09,68.13,22.2326239,14.72,33.1,9.604217561,4.44,19.95,13.6794278,6.48,26.64
E02000008,60.23900599,54.72,66,20.52264448,13.49,30.88,8.664339659,3.98,18.2,13.2048955,6.24,25.85
E02000009,60.84101712,55.34,66.57,20.44340863,13.43,30.78,8.597031398,3.95,18.07,14.2005148,6.75,27.5
E02000010,60.16486604,54.64,65.93,20.49106615,13.46,30.84,8.647198374,3.97,18.17,13.1810497,6.23,25.81
E02000011,55.41441436,49.78,61.43,17.25019999,11.18,26.51,6.831069575,3.11,14.67,13.0697996,6.17,25.63
E02000012,54.97462357,49.34,61.01,16.54625495,10.69,25.54,6.466686532,2.93,13.95,13.7144267,6.5,26.7
E02000013,60.8748416,55.38,66.6,20.76265326,13.66,31.2,8.821275692,4.06,18.49,13.6082975,6.44,26.53
E02000014,60.66057262,55.16,66.4,20.82532232,13.7,31.28,8.863431234,4.08,18.57,13.0366145,6.15,25.57
E02000015,64.13950558,58.79,69.62,23.10737401,15.35,34.21,10.12090196,4.69,20.89,14.0671231,6.68,27.28
E02000016,64.42485073,59.09,69.88,21.69373041,14.33,32.4,9.323800905,4.3,19.43,15.0983022,7.22,28.96
E02000017,56.31661873,50.7,62.29,17.00442154,11.01,26.17,6.659400449,3.02,14.33,13.8186947,6.55,26.87
E02000018,62.58015788,57.16,68.18,21.66012365,14.3,32.36,9.340459098,4.31,19.46,14.3631024,6.83,27.77
E02000019,60.44764898,54.94,66.2,20.38619039,13.39,30.7,8.645393837,3.97,18.16,13.541612,6.41,26.42
E02000020,61.33902297,55.86,67.03,20.45728358,13.44,30.8,8.673162233,3.99,18.21,14.1121096,6.7,27.36
E02000021,57.56728194,51.97,63.48,18.52975079,12.07,28.24,7.54823048,3.45,16.07,13.4366741,6.36,26.24
E02000022,69.4630564,64.47,74.46,25.259962,16.94,36.9,11.4902298,5.37,23.34,15.073141,7.2,28.92
E02000023,65.44027621,60.17,70.81,23.16162447,15.39,34.28,10.20272765,4.73,21.04,14.832171,7.08,28.53
E02000024,50.5825169,44.95,56.74,15.07579331,9.68,23.5,5.606716017,2.53,12.23,10.0219121,4.64,20.34
E02000025,53.57373458,47.93,59.66,16.77485177,10.85,25.86,6.5396744,2.97,14.1,10.6437491,4.95,21.45
E02000026,50.77885792,45.14,56.93,15.12396247,9.71,23.57,5.639506884,2.55,12.29,10.160105,4.71,20.58
E02000027,58.02855895,52.45,63.92,19.90648654,13.05,30.07,8.364323468,3.84,17.63,11.5544485,5.4,23.04
E02000028,51.75313838,46.11,57.89,15.19962152,9.76,23.67,5.704674944,2.58,12.42,10.8214954,5.04,21.76
E02000029,54.12115967,48.48,60.18,16.5988136,10.73,25.62,6.478425949,2.94,13.97,11.8316938,5.54,23.52
E02000030,50.40143101,44.77,56.56,15.48027609,9.96,24.07,5.864879121,2.65,12.75,9.4039697,4.34,19.22
E02000031,51.99881945,46.35,58.13,15.72574419,10.12,24.41,5.971443671,2.7,12.96,10.0647262,4.67,20.41
E02000032,49.3135639,43.7,55.49,14.23655673,9.11,22.31,5.169468653,2.33,11.33,10.0092451,4.64,20.31
E02000033,54.48354185,48.84,60.53,17.20789879,11.15,26.45,6.798787217,3.09,14.61,11.6400506,5.45,23.19
E02000034,53.34892061,47.7,59.44,16.35233262,10.56,25.28,6.352795471,2.88,13.73,10.8633798,5.06,21.83
E02000035,54.78544103,49.15,60.82,17.07532248,11.06,26.27,6.696690269,3.04,14.41,11.107172,5.18,22.26
E02000036,54.01903581,48.38,60.09,16.56316746,10.7,25.57,6.463791048,2.93,13.95,11.6807996,5.47,23.26
E02000037,54.03578804,48.39,60.1,16.85028219,10.9,25.96,6.702628236,3.04,14.42,10.7546133,5.01,21.64
E02000038,54.4752049,48.84,60.53,16.69417949,10.79,25.75,6.532373081,2.96,14.08,11.930584,5.59,23.69
E02000039,51.46544239,45.82,57.6,15.04243379,9.66,23.45,5.606546083,2.53,12.23,10.8483853,5.05,21.81
E02000040,57.21789376,51.62,63.15,18.88528543,12.32,28.72,7.768123801,3.55,16.49,11.3750259,5.31,22.73
E02000041,54.54930412,48.91,60.6,16.79314537,10.86,25.88,6.580645129,2.99,14.18,11.6680723,5.46,23.24
E02000042,55.38121225,49.75,61.4,16.98966876,11,26.15,6.752466768,3.07,14.52,11.7928577,5.52,23.46
E02000043,51.24875196,45.61,57.39,14.76791395,9.47,23.07,5.522602728,2.49,12.06,10.0215053,4.64,20.34
E02000044,59.34167418,53.79,65.16,19.99115936,13.11,30.18,8.414537355,3.86,17.73,12.4326108,5.85,24.55
E02000045,58.37373577,52.8,64.25,19.36628019,12.66,29.36,7.988215427,3.66,16.92,12.5901269,5.93,24.82
E02000046,55.66007374,50.03,61.66,16.89201338,10.93,26.02,6.706091752,3.05,14.43,12.123506,5.69,24.02
E02000047,60.02722884,54.5,65.8,20.12545446,13.2,30.36,8.480221174,3.89,17.85,12.9277997,6.1,25.39
E02000048,52.52278598,46.88,58.64,15.60061386,10.04,24.23,5.915853505,2.67,12.85,10.8021933,5.03,21.73
E02000049,67.48342311,62.34,72.67,25.10519185,16.83,36.71,11.35457911,5.3,23.1,13.7096338,6.5,26.69
E02000050,57.76890508,52.18,63.67,19.02512775,12.42,28.9,7.790053502,3.56,16.54,12.2169555,5.74,24.18
E02000051,54.02556851,48.38,60.09,16.55655665,10.7,25.56,6.422033335,2.91,13.86,11.12326,5.19,22.29
E02000052,56.98105387,51.38,62.93,18.33120576,11.93,27.97,7.364696845,3.36,15.71,12.0237025,5.64,23.85
E02000053,59.51533642,53.97,65.32,19.07735887,12.46,28.97,7.755209183,3.54,16.47,14.6570303,6.99,28.25
E02000054,55.63960402,50.01,61.64,17.0655367,11.05,26.26,6.685583332,3.04,14.38,12.6932337,5.98,24.99
E02000055,57.8954345,52.31,63.79,18.51829337,12.06,28.23,7.429443082,3.39,15.84,13.5927584,6.44,26.5
E02000056,51.02318046,45.39,57.17,15.00845297,9.63,23.4,5.615566222,2.53,12.24,9.6534846,4.46,19.67
E02000057,55.56144635,49.93,61.57,16.82547814,10.88,25.93,6.498130836,2.95,14.01,13.2456916,6.26,25.92
E02000058,53.19189136,47.55,59.29,16.02535581,10.33,24.82,6.120157318,2.77,13.26,11.1369482,5.2,22.32
E02000059,58.37832107,52.8,64.25,18.88621442,12.32,28.72,7.72905531,3.53,16.42,12.8692813,6.07,25.29
E02000060,55.55341384,49.93,61.56,16.93774567,10.96,26.08,6.573235062,2.98,14.16,13.0518191,6.16,25.6
E02000061,54.79397769,49.16,60.83,16.58134821,10.71,25.59,6.443304971,2.92,13.91,11.7296187,5.49,23.35
E02000062,61.49768764,56.03,67.18,21.12162564,13.91,31.66,8.983225162,4.14,18.8,13.8772269,6.58,26.97
E02000063,56.30690241,50.69,62.28,17.48602319,11.34,26.83,6.995422762,3.18,14.99,12.7576405,6.01,25.1
